GrupoEtario;Genero;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035
35-39;Total;3854180;3869470;3869319;3855209;3829700;3795518;3749737;3687891;3620892;3564916;3529504;3514844;3524974;3546753;3558491;3546764
40-44;Total;3548754;3617789;3683675;3742428;3788967;3820160;3836048;3836586;3823237;3798526;3765162;3720217;3659268;3593155;3537945;3503154
45-49;Total;3141667;3201967;3273423;3351686;3429882;3503019;3572155;3638153;3697081;3743885;3775447;3791841;3793015;3780398;3756488;3723934
50-54;Total;2904703;2935322;2963428;2993282;3031239;3080909;3141351;3212697;3290667;3368530;3441387;3510272;3576027;3634790;3681563;3713265
55-59;Total;2632224;2674059;2713763;2751343;2786553;2819654;2850927;2879719;2910179;2948505;2998225;3058378;3129081;3206158;3283077;3355045
60-64;Total;2266765;2326367;2380621;2430281;2476723;2520917;2562742;2602440;2640025;2675302;2708504;2739916;2768899;2799467;2837582;2886641
65-69;Total;1780635;1851855;1924245;1995899;2064029;2126938;2184910;2237855;2286445;2331931;2375217;2416174;2455055;2491874;2526452;2559026
70-74;Total;1297671;1361395;1424192;1486762;1550543;1616172;1683017;1750954;1818218;1882243;1941455;1996160;2046288;2092416;2135638;2176743
75-79;Total;850465;893859;944807;1000959;1058711;1115864;1172700;1228825;1284845;1341988;1400770;1460644;1521501;1581777;1639204;1692388
80-84;Total;562367;580946;598292;616948;640551;670980;707432;749858;796385;844176;891520;938663;985342;1032030;1079699;1128746
85-89;Total;309125;322854;338660;355440;371651;386673;401014;414647;429355;447669;470837;498266;529884;564358;599709;634747
90+;Total;205952;218341;230838;243602;256905;270793;285543;301571;318258;334820;350933;367124;383674;401327;421153;443643
